steps,time_in_bed_hours,active_cals_kcal,exercise_min,nonsedentary_hours,daylight_hours,distance_m,flights,resting_hr_bpm
12420.0,0.0,0.0,67.0,24.0,2.7941320191074563,9840.0,0.0,0.0
5792.0,7.033333333333333,2.568,68.0,16.96666666666667,2.068058865550077,3888.0,15.0,49.0
9162.0,8.966666666666667,2.606,0.0,15.033333333333333,1.4864837822573378,6569.0,0.0,46.0
10406.0,7.866666666666666,4.17,0.0,16.133333333333333,2.2850764403738872,7202.0,4.0,43.0
11465.0,8.0,2.751,210.0,16.0,2.1375596408737074,8045.0,14.0,50.0
11778.0,7.283333333333333,3.302,54.0,16.71666666666667,2.6478741726623034,8865.0,6.0,47.0
11983.0,6.366666666666666,2.14,0.0,17.633333333333333,1.498407290287234,7738.0,0.0,47.0
9128.0,8.916666666666666,2.407,0.0,15.083333333333334,1.3035481022725597,7126.0,1.0,45.0
8844.0,16.283333333333335,5.435,0.0,7.716666666666665,0.5362944470282803,6966.0,14.0,48.0
12144.0,0.0,0.0,52.0,24.0,3.0535612048252925,8956.0,0.0,0.0
9521.0,9.316666666666666,3.387,0.0,14.683333333333334,2.6171954415410457,5960.0,15.0,48.0
6810.0,7.633333333333334,6.247,91.0,16.366666666666667,1.4154783214621565,4768.0,8.0,47.0
7166.0,8.0,1.575,113.0,16.0,1.4026583905448362,5816.0,1.0,48.0
7701.0,7.05,2.072,0.0,16.95,2.0148540567088595,4706.0,5.0,47.0
11242.0,7.866666666666666,2.521,0.0,16.133333333333333,1.5413002833243024,8236.0,2.0,47.0
10356.0,8.05,3.394,115.0,15.95,2.361437557197923,7156.0,13.0,49.0
11726.0,8.266666666666667,2.245,0.0,15.733333333333333,0.5,9266.0,12.0,51.0
8931.0,8.2,3.07,0.0,15.8,1.1013064671581738,6397.0,0.0,50.0
10396.0,16.766666666666666,7.43,82.0,7.233333333333334,0.5,8007.0,6.0,48.0
11563.0,0.0,0.0,193.0,24.0,0.8757507913296987,8999.0,3.0,0.0
9226.0,7.966666666666667,4.137,210.0,16.03333333333333,1.0287864222751704,7767.0,16.0,54.0
11141.0,15.916666666666666,6.952,55.0,8.083333333333334,0.5,8243.0,0.0,54.5
8345.0,8.683333333333334,4.29,80.0,15.316666666666666,1.4908934085034853,6415.0,18.0,55.0
9092.0,8.433333333333334,3.528,173.0,15.566666666666666,2.435742790828851,6144.0,8.0,56.0
9045.0,0.0,0.0,31.0,24.0,2.3284575441665085,7322.0,1.0,0.0
7010.0,16.066666666666666,6.239,67.0,7.933333333333334,0.5,4991.0,4.0,58.0
11217.0,9.083333333333334,3.518,0.0,14.916666666666666,1.5517984878171962,8098.0,3.0,55.0
